"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
VN86,HBRE Vung Tau,,Vietnam,Consent Authorised,National Energy Development Plan,Vung Tau,"Developers plan to use 12+ MW GE turbines, and are expected to apply under Vietnam's expected new FiT system, which will mean achieving commercial operations by 31st December 2023.",,"25 Apr 2020: 200m tall HBRE LIDAR zx300m installed, to be in place for about a year.",,,,07-Dec-2019,,,31-Dec-2023,,,,,H &amp; Brothers Renewable Energy (HBRE),"HBRE Vung Tau,EDF Energies Nouvelles Group",,500,,Estimate: Haliade-X 12 MW (GE Energy),Yes,,Haliade-X 12 MW,,,12,,,,,220,Grounded: Not Specified,,,USD 1500 million,1500,USD,,,,,,22,51,,,,30.14,9.55,,10.2673,107.6553,South China Sea,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
CN3M,HCIG Tangshan Offshore Wind Farm -phase 2,河北建投唐山海上风电场二期工程,China,Concept/Early Planning,2014-2016 Development Plan,"Hebei, Tangshan","The project is included in the 'National Offshore Wind Power Development and Construction Plan (2014-2016)' and, as a result, will be treated by NEA as approved. This means the developers will be responsible for the risks and shall implement all conditions for construciton. Once the sites are qualified to a certain extend they can report to local authorities for approval.",,12 Aug 2015: Feasibility study report tender window closed and Shanghai Investigation Design & Research Institute (SIDRI) got the bidding.,31-Dec-2035,31-Dec-2035,,,,,,2035,201,Low,4C estimate the start based on fair reasons associating with the project development progress. This project was not authorized but went through some early stage of development in the early 2010s. The project seems like being paused at the moment but holds potentials to re-start in the future through new price bidding auctions.,Hebei Construction &amp; Investment,"Hebei Construction, &amp; Investment, Group Co., Ltd (河北建设投资集团有限责任公司)",,201,,Not Decided,,,,,,3,,67,,,,Grounded: Not Specified,,,,,,,,,,,,,17,23,20,,7.09,,38.9319,118.7666,Bohai Sea,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
DE63,He dreiht II,,Germany,Cancelled,,Exclusive Economic Zone 2 (BorWin) (BSH Cluster 7),,https://www.enbw.com/unternehmen/konzern/energieerzeugung/erneuerbare-energien/windkraft-auf-see/index.html,09 Sep 2017: Project removed from pipeline as it fails to meet transitional auction qualification criteria.,,,04-Feb-2015,,,,,,,,,EnBW,EOS Offshore Ltd,,138,,Not Decided,,,,,,,,39,,,,Grounded: Not Specified,,,,,,,,,,,37,39,,,46,99.16,10.01,15.07,54.3224,6.2071,North Sea,Europe,NO,,,,,Candidate to connect to NOR-7-1 or NOR-7-2,,,,,,,,,,,,,,,,,
TW89,He Er North,禾爾北離岸風力發電場興建計畫,Taiwan,Concept/Early Planning,Round Three - Sites Allocation (candidate),New Taipai City,,,"30 Nov 2020: The project has scoped the site by the developer and was sent to the EIA committee during sometime between August to November 2020. Once EIA license acquired (uncertain at this stage), it will compete for the grid capacity allocation in the third development stage of Block Development (BD) (2026-2035).",,,,,,,,,,,,,"Dewei Xingdian Co., Ltd (德威興電股份有限公司)",,2400,,Not Decided,,,,,10,20,,,,,,Various,,,,,,,,,,,91,135,90,130,32,46.55,10.14,317.5417,25.5764,121.9124,Taiwan Strait,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
TW90,He Er South,禾爾南離岸風力發電場興建計畫,Taiwan,Concept/Early Planning,Round Three - Sites Allocation (candidate),New Taipai City,,,"30 Nov 2020: The project has scoped the site by the developer and was sent to the EIA committee during sometime between August to November 2020. Once EIA license acquired (uncertain at this stage), it will compete for the grid capacity allocation in the third development stage of Block Development (BD) (2026-2035).",,,,,,,,,,,,,"Deliang Xingdian Co., Ltd (德亮興電股份有限公司)",,2400,,Not Decided,,,,,10,20,,,,,,Various,,,,,,,,,,,29,274,100,240,13,32.86,10.14,344.8878,25.4126,121.8946,Taiwan Strait,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
TW88,He Yi,合儀離岸風力發電場興建計畫,Taiwan,Concept/Early Planning,Round Three - Sites Allocation (candidate),New Taipai City,,,"30 Nov 2020: The project has scoped the site by the developer and was sent to the EIA committee during sometime between August to November 2020. Once EIA license acquired (uncertain at this stage), it will compete for the grid capacity allocation in the third development stage of Block Development (BD) (2026-2035).",,,,,,,,,,,,,"Deguan Xingdian Co., Ltd (德冠興電股份有限公司)",,2600,,Not Decided,,,,,10,20,,,,,,Various,,,,,,,,,,,118,200,110,200,9,19.8,10.33,380.9958,25.4512,121.6318,Taiwan Strait,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
HK02,HEC Lamma Offshore Wind Farm,"Lamma
港燈南丫島離岸風場",China,Consent Authorised,,Hong Kong,The cost is expected to be between HK$2.5-3m (US$0.32-3.85m).,http://www.heh.com/OffshoreWindFarm/,"01 Oct 2013: During Q4 offshore ground investigation works will be undertaken. The investigation, to include borehole drilling, will look at soil conditions in order to determine the foundation design and the project layout.",,,,14-May-2013,,,,,,,,Hongkong Electric,Hongkong Electric Co Ltd (港燈),,100,,Not Decided,,,,,2.3,3.6,28,35,115,75,80,Grounded: Not Specified,,,HKD 3000 million,3000,HKD,,,,,,17,21,15,15,3.5,11.62,8.96,6.97,22.166,114.0831,South China Sea,Asia,NO,,,1,,Lamma Island,Lamma Island,,2.5,,275,,,,,,,22,,,,,25
NL77,Helder,17 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,The number of turbines and turbine capacity are approximate. Rotor diameter 105-130. Hub height 70-110.,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Evelop,,225,,Not Decided,,,,,,4.5,,51,175,110,130,Grounded: Not Specified,,,,,,,,,,,22,26,,,43,44.26,9.8,34,52.9092,4.0415,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
NL24,Helmveld,16 (ID assigned by authority),Netherlands,Cancelled,,Noord-Holland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,31-Aug-2007,,,,,,,,,Eneco,Evelop,,493,,Not Decided,,,,,,3.6,,137,129,77,104,Grounded: Monopile,137 x Monopile,,,,,,,,,,21,28,23,28,33,38.93,9.84,49.03,52.8363,4.0939,North Sea,Europe,NO,,,2,,Velsen-Noord,Wijk aan Zee,2,68.6,,150,,,,,,93,,,,,,
DE0F,Heron,Hütter Offshore II,Germany,Cancelled,,Exclusive Economic Zone 2 (BorWin/DolWin) (Unfeatured cluster in Draft Network Plan),Project unlikely to be approved due to location being within a military training area used by German Air Force and Navy.,,"08 Jun 2016: The Federal Maritime and Hydrographic Agency (BSH) has received a planning application for project, however the BSH has expressed its intention to not grant any further authorisations until the 16th June 2018 under the extension and amendment of the latest development freeze. Only those projects granted approval according to Section 2 of the Marine Facilities Ordinance (SeeAnIV), or those that have held a hearing for the project's application according to the Marine Facilities Ordinance (SeeAnIV), and located in North Sea Cluster 1-8 or Baltic Sea Cluster 1-3 will be considered for the tender rounds scheduled for 2017. A project could also be a contender if it is located in the 12nm zone and has been awarded the final construction permit according to §4 of the Federal Pollution Control Act.",,,,,,,,,,,,"Etanax Holding GmbH (57.5%), Windreich (42.5%)",OWP Gannet GmbH i.G.,,400,,Not Decided,,,,,,5,,80,,,,Grounded: Not Specified,,,,,,,,,,,37,37,,,84,87.55,9.99,56.54,54.3793,6.664,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
DK0I,Hesselø - 2021 Tender - Direct Connection to Land,,Denmark,Development Zone,2021 Tender (DK),Midtjylland,"The site of Hesselø is located north of Zealand in Hesselø Bay in the Kattegat at a distance of 32 km from Zealand and around 20 km from the small island Hesselø. The site is an area of approx. 247 km2 .

Second Tender of the three confirmed in the 2018 energy agreement. With the Climate Agreement of June 2020, it was decided to advance the time table of the tender  and commissioning schedule. The Danish Energy Agency plans to start the tendering process in 2021, with the announcement of the winner of the tender at the end of 2022. Full operations are expected by end-2027, same time as Thor. The capacity of the site has been increased from 1 GW to 1.2 GW. The extra 200 MW overplanting capacity can help optimize the use of the cables inland, and the concession winner can use the extra capacity to ensure a more continuous flow of power to the network. Overplanting capacity could connect to Power-to-X plant or to a battery instead of directly to the grid.

The developer/concession winner will be responsible for the offshore and onshore transmission system to the Point of Connection (POC) provided by Energinet at the 400 kV substation at Hovegård (approximately 50 km from the landfall at Gilbjerg Hoved).",https://ens.dk/en/our-responsibilities/wind-power/ongoing-offshore-wind-tenders/hesselo-offshore-wind-farm; https://energinet.dk/Anlaeg-og-projekter/Projektliste/HesseloeHavvindmoellepark,01 Jan 2021: Energinet to hold the first public consultation phase on the EIA process for the onshore transmission system in Q1 2021. Responses will be processed by the DANISH ENVIRONMENTAL PROTECTION AGENCY  in Q2.,01-Jan-2026,01-Jan-2026,,01-Oct-2024,,,31-Dec-2027,2026,1200,Medium,"In 2018 government announced a new Energy Agreement that will include three 800MW wind projects with tenders to be held in 2019, 2021 and 2023 and construction and commissioning spanning the period 2024 to 2030. On 22nd June 2020 the government signed an agreement as part of its Climate Action Plan which would see the establishment of the second wind farm agreed in the 2018 energy agreement within the screened area of Hesselø. The parties have agreed that the wind farm should be operational by 2027 instead of 2028 and have advanced the schedule compared to the original 2018 agreement. The Danish Energy Agency plans to start the tendering process in 2021, with the announcement of the winner of the tender at the end of 2022. Full operations are expected by end-2027, same time as Thor. The capacity of the site has been increased from 1 GW to 1.2 GW. The extra 200 MW overplanting capacity can help optimize the use of the cables inland, and the concession winner can use the extra capacity to ensure a more continuous flow of power to the network. Overplanting capacity could connect to Power-to-X plant or to a battery instead of directly to the grid. The developer/concession winner will be responsible for the offshore and onshore transmission system to the grid connection point. In July 2020 Energinet was instructed the initiate the site investigation phase with a draft exploration permit expected to be granted in August 2020.",,"Danish Energy Agency,Danish Energy Agency",,1200,800,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,25,32,,,30,44.84,8.82,246.56,56.4569,11.8258,Kattegat,Europe,NO,,,,,Hovegård,Gilbjerg Hoved,,,,,,,,,,,,,,,"Landfall at Gilbjerg Hoved. There will be a coastal high voltage station, which connects sea and land cable. Buried cables will run from the coastal station to Hovegaard transformer station which is due to be expanded.  The onshore cables will be around 50 km.",
MT03,HEXICON,,Malta,Cancelled,,Malta,"Hexicon intended to install of it's innovative floating hexagonal platforms, consisting of 24 x 3/3.6MW turbines",http://www.hexicon.eu/,"09 Mar 2013: 2013 Governmental support for project withdrawn, after election.",,,,,,,,,,,,Hexicon,Hexicon Malta Ltd.,,86.4,72,Not Decided,,,,,3,3.6,,24,,,,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 700 m
Platform width - about 500 m
Full load draught - about 5 - 20 m
Maximum Height (incl. turbine blades) - 220 m
Lower hub height - 71 m
Upper hub height - 170 m
Light platform displacement - about 35000 t",,,,,,,,,145,152,100,150,,33.05,7.79,,36.2538,14.5476,Mediterranean Sea,Europe,NO,,,,,Magħtab,Qalet Marku,1,,,,,,,,,,,,,,,50
MU01,HEXICON,,Mauritius,Dormant,,unknown,"Hexicon intends to install two of it's innovative floating hexagonal platforms, consisting of 24 x 3/3.6MW turbines",http://www.hexicon.eu/,01 May 2014: Project is on hold whilst HEXICON develop their 3 and 4 turbine platform.,,,,,,,,,,,,"ECO EQUITY INVESTMENT (96%), Local Investors(Mauritius) (4%)",Greenergy Indian Ocean Ltd,,172.8,72,Not Decided,,,,,3,3.6,,48,,,,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 700 m
Platform width - about 500 m
Full load draught - about 5 - 20 m
Maximum Height (incl. turbine blades) - 220 m
Lower hub height - 71 m
Upper hub height - 170 m
Light platform displacement - about 35000 t",,,,,,,,,,,,,,,10,,-19.741,57.9014,Indian Ocean,Africa,Yes,,,,,,,1,,,,,,,,,,,,,,,
MX01,HEXICON,,Mexico,Dormant,,unknown,"HEXICON intends to install one of its innovative floating hexagonal platforms, which will consist of 24x 3-3.6MW turbines.",http://www.hexicon.eu/,01 May 2014: The project is on hold whilst HEXICON develop their 3 and 4 turbine platform.,,,,,,,,,,,,Hexicon,Hexicon AB,,86.4,72,Not Decided,,,,,3,3.6,,24,,,,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 700 m
Platform width - about 500 m
Full load draught - about 5 - 20 m
Maximum Height (incl. turbine blades) - 220 m
Lower hub height - 71 m
Upper hub height - 170 m
Light platform displacement - about 35000 t",,,,,,,,,,,,,,,,,22.3694,-97.4887,unknown,North America,Yes,,,,,,,1,,,,,,,,,,,,,,,
SE27,HEXICON - Blekinge Utklippan,,Sweden,Cancelled,,"Blekinge, Karlskrona","Hexicon intended to test of it's innovative floating hexagonal platform, consisting of 6 horizontal wind turbines of 6.5 MW each, 30 vertical wind turbines of 0.5 MW each and 15 wave turbines 1 MW.",http://www.hexicon.eu/,"31 Jan 2017: Swedish Offshore Wind - National Strategy Update
With no sector specific support, offshore wind projects in Sweden have marginal economics at best and must compete with other renewables in a green certificate mechanism.

In August 2015 the Energy Agency, on behalf of the government, investigated what options were available for subsidising offshore wind should they decide to do so. A tender process similar to other European countries was proposed as being the most cost effective whilst also complying with EU State aid rules. Furthermore they suggested that, because of planning lead times, large scale projects under any such tender system would not see commissioning before 2024. The report advised that under such a scheme an expansion of offshore wind power of between 2250MW to 4500MW was credible by 2030. It was proposed that an earlier 'pilot tender' of 120MW could be operational by 2018.

However, with ample sites onshore along the southern coast the justification for supporting offshore wind has been questioned by many industry participants. The TSO, Svenska Kraftnat, in its 2016-2025 network development plan envisages no growth in offshore wind over the period, citing the economic challenges, and choosing not to investigate the implications of offshore wind grid penetration further.

There is some hope for advocates of offshore wind. In January 2016 the Energy Agency were once again charged with an investigative report, this time to analyse the potential for technology development and cost reduction of offshore wind over the next 15-25 years. The report, which will also address floating wind will consider the potential market size nationally and globally; an economic analysis ; energy and climate policy; innovation, business development, job creation, regional growth and export opportunities. The reported is to be delivered on 31 January 2017.",,,,,,,,,,,,"Hexicon, Lunds Energi, Falkenberg Energi, Öresundskraft, Affärsverken",Hexicon Baltic AB,,44,,Not Decided,,,,,,,,36,,,,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 460 m
Platform width - about 460 m
Full load draught - about 10 - 28 m
Maximum Height (incl. turbine blades) - 230 m
Light platform displacement - about 18000 t",,,,,,,,,39,39,,,,18.14,8.98,7.1,55.9372,15.7761,Baltic Sea,Europe,NO,,,,,,Karlskrona,1,,,,,,,,,,,,,,,
CY01,HEXICON - Larnaca,,Cyprus,Cancelled,,Larnaca,"Hexicon intended to install one of its innovative floating hexagonal platforms, consisting of 6 horizontal wind turbines of 6.5MW rating, 30 vertical wind turbines of 0.5MW rating and 15 x 1MW wave turbines.",http://www.hexicon.eu/,01 Jul 2012: The development did not receive NER300 funding and therefore will not be progressing forward.,,,,,,,,,,,,Hexicon,Hexicon Cyprus Ltd,,44,,"Bard 6.5 (Bard), 6 x Bard 6.5MW and 30 x Vertical Wind 0.5MW.",,,Bard 6.5,6 x Bard 6.5MW and 30 x Vertical Wind 0.5MW.,,6.5,,72,,,122,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 460 m
Platform width - about 460 m
Full load draught - about 10 - 28 m
Maximum Height (incl. turbine blades) - 230 m
Light platform displacement - about 18000 t",,,,,,,,,,,,,,,6.74,,34.9176,33.8111,Mediterranean Sea,Europe,Yes,,,,,,,2,,,,,,,,,,,,,,,
GR58,HEXICON - Peloponnese,Πελοπόννησο,Greece,Cancelled,,Peloponnese,"Hexicon intends to install of it's innovative floating hexagonal platforms, consisting of 24 x 3/3.6MW turbines.
Platform may also harvest wave energy",http://www.hexicon.eu/,01 May 2014: Project is on hold whilst HEXICON develop their three and four turbine platform.,,,,,,,,,,,,Hexicon,Hexicon AB,,86.4,72,Not Decided,,,,,3,3.6,,24,,,,Floating: Semi-Submersible Platform,,"Hexicon Platform -
Platform length - about 700 m
Platform width - about 500 m
Full load draught - about 5 - 20 m
Maximum Height (incl. turbine blades) - 220 m
Lower hub height - 71 m
Upper hub height - 170 m
Light platform displacement - about 35000 t",,,,,,,,,,,,,,,7.98,,36.8726,21.6016,Mediterranean Sea,Europe,Yes,,,,,,,1,,,,,,,,,,,,,,,
DE2I,Hiddensee - reserve area for wind energy,,Germany,Development Zone,,12nm zone (Mecklenburg-Vorpommern),,http://www.regierung-mv.de/Landesregierung/em/Raumordnung/Landesraumentwicklungsprogramm/aktuelles-Programm/,09 Jun 2016: Area included in Mecklenburg-Vorpommern land development plan and Germany's maritime spatial planning document.,,,,,,,,,,,,Mecklenburg-Vorpommern,,,,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,20,20,,,,19.52,8.86,15.22,54.7007,12.9419,Baltic Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
EE01,Hiiumaa,"Hiiumaa avamere tuulepark, Loode-Eesti tuulepargi, Vindkovi madal, Apollo madal, Loode-Eesti Meretuulepark",Estonia,Concept/Early Planning,,Hiiu,"A hydro pump storage power plant is also being proposed alongside the offshore wind farm.

The building permit granted is valid for 50 years. It may be renewed, but if not the wind farm will have to be completely decomissioned and removed. It is also subject to an annual fee of EUR 15 million.

The wind farm is divided into four areas - from East to West:
TP1 (formerly Apollo)
TP2 (formerly Vinkov)
TP3 (formerly Madal 2)
TP4 (formerly Madal 1)

Construction is planned in stages, starting with TP2 and ending with TP1, with construction expecting to last 2 years.

Enefit Green has proposed two alternative layouts in its 2019 EIA - the first includes wind turbines of 4-7 MW, and the second new alternative includes turbines of 7 - 12 MW. Scenario 2 reduces the size of area TP1, positioning turbines further from nearby Apollo Marine Conservation area.

The developer (Enefit Green) is responsible for grid connection.

Up to 50% of the year, there is a risk of drifting ice. Permanent ice can form in severe winters, with ice of average 20cm.",http://www.hiiumeretuulepark.ee/en,"31 Dec 2020: Update August 2019: The ammended EIA was completed. There is no indication of when/if this will be approved. If it is approved, a special water usage permit will be issued.
Update: EIA amendments were still in progress as of October 2018. No news has been reported as of February 2019.
EIA approval expected 2nd half of 2018 (said to be in final stages in 2017 annual report). Will apply for build consent following approval.",01-Jan-2027,01-Jan-2027,,,,,,,,,,Eesti Energia,Hiiumaa Offshore Tuulepark OU,,1100,700,"Two alternative designs proposed:
1: Either Siemens SWT 4 MW, SWT 6 MW or Vestas 7 MW
2: Either Vestas 7 MW or GE Haliade-X 12 MW",,,,"Two alternative designs proposed:
1: Either Siemens SWT 4 MW, SWT 6 MW or Vestas 7 MW
2: Either Vestas 7 MW or GE Haliade-X 12 MW",4,12,100,200,245,135,220,Grounded: Gravity-Base,,"(2019 EIA) Monopiles, tripods, floating and jackets are not suited due to ice, plus jackets are considered too complex. There is also a thick limestone layer underlying soft soil, meaning piled foundations are not suitable. Only gravity based are viable, with an expected weight of ~3300t.",,,,,,,,,8,50,10,30,12,9.36,9.03,189.15,59.1482,22.5237,Baltic Sea,Europe,NO,"Paldiski is the likely port for storage and assembly (EIA, 2019)",,3,,Kanapeeksi,Mudaste and Tareste,3,,,110,,,,,"In the 2019 EIA, several different models are proposed.

- 330kV connection, with transition at Hiiumaa substation with two 110/330 kV transformers. Connected in turn to Aulepa substation with 330 kV overhead lines to Harku and Sindi substations. Provides interconnection with mainland.

Direct connection to Aulepa substation:
Scenario 1 : 3 x 150 kV export cables connect to Hiiumaa in Tahkuna and Lehtma then to Hiuuma substation. Connection by submarine cable to Riguld (mainland) then Aulepo substation.

Scenario 2 : Connection via submarine cable directly to Riguld (mainland) then Aulepo substation, with 20 MW subsea cable to Tahkuna (Hiiumaa).",,33,,,,,20
ES43,HiPRWind,,Spain,Cancelled,,País Vasco,"The prototype will be used in a 5 year project to test development of a floating turbine at 1/6 scale, using a 1.5 MW turbine. The project is looking to use a semi-submerged structure consisting of interconnected pontoons partially filled with air.
The European Union (EU) is funding 11 million EUR to the project.
HiPRWind will be positioned within  Bimep (Biscay Marine Energy Platform) zone, off  of the Cantabrian coast

The developers are considering moving the project off the coast of Norway.",http://www.hiprwind.eu/,"30 Jun 2015: The HiPRWind project has been terminated following a decision of its General Assembly, and with an effective termination date of 30th June 2015. The amended work plan foresaw the installation and use of the 1.5MW scale HiPRWind floating test platform at an offshore site near Trondheim Norway), in collaboration with national research infrastructure ""Floating Experimental Wind Turbine"", FlexWT. After the planned end of HiPRWind in 2017, FlexWT would take over the facility and continue to use it for shared-access R&D. However, the FlexWT project was terminated on 30 April 2015, and without this collaboration, it was no longer possible to continue the HiPRWind work.",,,01-Jan-2013,,,,,,,,,,"Fraunhofer Institute for Wind Energy and Energy Systems Technology (IWES),Norweigen University of Science and Technology (NTNU),SINTEF,Offshore Renewable Energy Catapult,ABB Schweiz AG,Robotiker Tecnalia,Technip S.A.,Wolfel Beratende Ingenieure GmbH &amp; Co KG,Dr techn Olav Olsen,University of Siegen,Micromega Dynamics SA,Bureau Veritas SA,TWI Ltd,1-Tech s.p.r.l.,Angewandten Forschung e.v.,ACCIONA Windpower,Ingenieria y Diseño Europeo ( IDESA ) S.A.,Vicinay Cadenas S.A",,1.5,,Not Decided,,,,,,,,1,,,,Floating: Semi-Submersible Platform,,,EUR 19.8 million,19.8,EUR,,,,,,67,68,50,90,,3.74,,,43.4672,-2.8746,Bay of Biscay,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
JP45,Hirono,"洋上（着床式）：洋野町沖合海域
洋野町洋上風力発電
洋野町洋上ウィンドファーム",Japan,Concept/Early Planning,Ministry of the Environment 2015,Iwate Prefecture,"This area selected by the Ministry of Environment in 2015 for the promotion of offshore wind off the coast of Yono Town, Iwate Prefecture.

Surveys have been conducted throughout 2016 and 2017, revealing that this area has an average 7.53 m/s at 80m height.

A local council has been established by the Iwate Prefecture, the 'Iwate Northern Coastal Offshore Wind Power Generation Study council'  「いわて沿岸北部洋上風力発電事業化検討協議会」 to continue examining the feasibility of the offshore wind off the coast of Iwate Prefecture.",,26 Feb 2019: The guidelines for the introduction of the offshore wind farms off the coast of Hirono Town were published by the Planning Division of Hirono Town. These guidelines are for fixed-bottom offshore wind projects. Guidelines for floating wind project will be published later by the Planning Division of Hirono Town.,,,,,,,,,,,,Hirono,,,200,,Not Decided,,,,,,5,,40,,,,Grounded: Not Specified,,,,,,,,,,,20,20,,30,,3.13,9.51,7.74,40.4218,141.7455,North Pacific Ocean,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
JP36,Hitachi Demonstration Prototype (onshore),,Japan,Fully Commissioned,,Ibaraki Prefecture,,http://www.hitachi.co.jp/New/cnews/month/2015/03/0324.html,24 Dec 2014: Hitachi installed the turbine in March 2015 after it was initially delayed.,01-Dec-2013,01-Dec-2013,,26-Nov-2013,,,24-Dec-2014,,,High,,Hitachi,"Hitachi, Ltd. (株式会社日立製作所)",,5,,HTW5.0-126 (Hitachi Ltd ),,,HTW5.0-126,,,5,,1,153,90,126,Grounded: Onshore,1 x Onshore,,,,,,,,,,,,,,,,9.34,,35.9226,140.6992,Onshore,Asia,NO,,,,,,,,,,,,,,,,,,,,,,
JP72,Hitachi Zosen/Naval Industries,,Japan,Concept/Early Planning,,To be announced,Hitachi Zosen and Naval Industries will cooperate together to pursue a multi-MW floating project off the Japanese coast.,,01 Aug 2019: The two companies will conduct a feasibility study to jointly design and build floating wind turbines with a capacity of several hundred megawatts using Naval Energies' semi-submersible floater solution off the Japanese coast.,,,,,,,,2034,500,Low,"NOTE: Modelled as a resentative project.

According to METI's and MLIT's announcements, at least 1 GW will be auctioned annually starting from 2020. 4C estimted that in 2029 a floating-specific area will be tendered for a commercial scale project. Offshore construction of this project could start as early as 2034.","Hitachi, Naval Energies","Hitachi Zosen Corporation (日立造船株式会社),Naval Energies (formerly DCNS)",,,,Not Decided,,,,,,,,,,,,Floating: Semi-Submersible Platform - Hybrid,,,,,,,,,,,,,,,,,8.67,,37.0558,141.1653,To be announced,Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
JP75,Hiyama,"檜山エリア洋上風力発電事業
Hiyama area OWF",Japan,Concept/Early Planning,Proposed development under the General Sea Law (平成 30 年法律第 89 号),Hokkaido Prefecture,"J-Power announced a plan to develop a 722 MW project off the coast of Setana town, Hokaido. The proposed project is under the General Sea Law (""Ippan Kaiiko"").

Based on the submitted Consideration Book (Planning Stage of EIA) up to 76 units will be deployed, having a capacity of between 9.5 MW and 12 MW (the overall proposed area is approximately 39,000ha).",,15 Nov 2019: The Minister of Environment submitted its opinion on the Consideration Book. The minister suggested to developers to investigate further solutions minimising the impact both on birds (birds collision) and on civilians living close to the project (reduce the noise level).,,,,,,,,,,,,J-POWER/Electric Power Development,"J-POWER/Electric Power Development Co.,LTD (電源開発株式会社)",,722,,Not Decided,,,,,9.5,12,,76,,,,Grounded: Not Specified,,still in site investigation stage (201908); assumingly around 70 units,,,,,,,,,,,,,,,10.15,,41.7427,140.0212,Sea of Japan(East Sea),Asia,Yes,,,,,,,,,,,,,,,,,,,,,,
VN25,Hoa Binh 1 - phase 1 (intertidal),Dự án điện gió Hòa Bình 1,Vietnam,Under Construction,Bac Lieu 2020,Bạc Liêu,"Vestas is providing and supervising installation of 13 V150-4.2 MW turbines, ten of which will be rated to 4 MW and three of which are rated to 3.8 MW. Each turbine will be equipped with a full-scale converter. The project also includes a 10-year Active Output Management 5000 service agreement.",,"01 Jan 2021: Update: The bulk of construction now scheduled for 2021, with turbine installation to be completed by Q3.

Construction is scheduled to commence in 2018, with the aim of full commissioning in 2020. However, the construction has been delayed.",31-Jul-2020,31-Jul-2020,,,02-Jan-2018,,01-Nov-2021,2020,51.4,High,"Developers are anxious to meet the November 2021 FiT deadline and entered pre-construction in 2019. Vestas is providing and supervising installation of 13 V150-4.2 MW turbines, ten of which will be rated to 4 MW and three of which are rated to 3.8 MW. Each turbine will be equipped with a full-scale converter. The project also includes a 10-year Active Output Management 5000 service agreement.",PHUONG ANH,Hoah Binh 1 Investment Joint Stock Company,,51.4,,"V150-4.2 MW  (Vestas), V150-4.2 (Vestas), rated to 3.8 MW (x3)",,,V150-4.2 MW,"V150-4.2 (Vestas), rated to 3.8 MW (x3)",,4,,13,,,150,Grounded: High-Rise Pile Cap,,,VND 3e+006 million,3000000,VND,,"Phuong Anh plans to invest 15,940 billion VND to develop 240MW project, and has received permission from Bac Lieu Department of Planning and Investment to do so.

Electricity will be sold at the equivalent of 9.8 US cents per kWh.",,,,0.6,5.5,,,,5.36,8.19,5.9675,9.1469,105.7276,South China Sea,Asia,NO,,,,,110kV National Power Grid at Bac Lieu,,,,,,,,,,"110kV, 12km DC line connecting to the national power grid at Bac Lieu.",,,,1,12,Likely overhead connecting transformer station to 110 kV dual circuit line.,
